entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
NguoiKy_nguyen_ong_tien,NguoiKy,Nguyễn Đồng Tiến,Nguyễn Đồng Tiến,117310,raw,1.0,Raw metadata value: Nguyễn Đồng Tiến
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,117310,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
NguoiKy_ao_minh_tu,NguoiKy,Đào Minh Tú,Đào Minh Tú,44209,raw,1.0,Raw metadata value: Đào Minh Tú
LinhVuc_phat_hanh_va_kho_quy,LinhVuc,Phát hành và kho quỹ,Phát hành và kho quỹ,44209,raw,1.0,Raw metadata value: Phát hành và kho quỹ
NguoiKy_nguyen_phu_trong,NguoiKy,Nguyễn Phú Trọng,Nguyễn Phú Trọng,25692,raw,1.0,Raw metadata value: Nguyễn Phú Trọng
CoQuan_quoc_hoi,CoQuan,Quốc hội,Quốc hội,25692,raw,1.0,Raw metadata value: Quốc hội
LinhVuc_cuc_an_toan_he_thong_cac_to_chuc_ti,LinhVuc,Cục An toàn hệ thống các tổ chức tín dụng,Cục An toàn hệ thống các tổ chức tín dụng,177271,raw,1.0,Raw metadata value: Cục An toàn hệ thống các tổ chức tín dụng
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,44209,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,177271,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
NguoiKy_oan_thai_son,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,177271,raw,1.0,Raw metadata value: Đoàn Thái Sơn
NguoiKy_oan_thai_son,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,185630,raw,1.0,Raw metadata value: Đoàn Thái Sơn
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,164719,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
LinhVuc_ke_toan_kiem_toan,LinhVuc,"Kế toán, kiểm toán","Kế toán, kiểm toán",150974,raw,1.0,"Raw metadata value: Kế toán, kiểm toán"
NguoiKy_ta_anh_tuan,NguoiKy,Tạ Anh Tuấn,Tạ Anh Tuấn,150974,raw,1.0,Raw metadata value: Tạ Anh Tuấn
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,173695,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
NguoiKy_oan_thai_son,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,173695,raw,1.0,Raw metadata value: Đoàn Thái Sơn
LinhVuc_thanh_tra_giam_sat_ngan_hang,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",164719,raw,1.0,"Raw metadata value: Thanh tra, giám sát ngân hàng"
NguoiKy_oan_thai_son,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,164719,raw,1.0,Raw metadata value: Đoàn Thái Sơn
LinhVuc_thanh_tra_giam_sat_ngan_hang,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",173695,raw,1.0,"Raw metadata value: Thanh tra, giám sát ngân hàng"
LinhVuc_thanh_tra_giam_sat_ngan_hang,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",168859,raw,1.0,"Raw metadata value: Thanh tra, giám sát ngân hàng"
NguoiKy_ao_minh_tu,NguoiKy,Đào Minh Tú,Đào Minh Tú,168859,raw,1.0,Raw metadata value: Đào Minh Tú
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,168859,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
CoQuan_bo_tai_chinh,CoQuan,Bộ Tài chính,Bộ Tài chính,143217,raw,1.0,Raw metadata value: Bộ Tài chính
NguoiKy_tran_minh_tuan,NguoiKy,Trần Minh Tuấn,Trần Minh Tuấn,27257,raw,1.0,Raw metadata value: Trần Minh Tuấn
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,27257,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
LinhVuc_thanh_tra_giam_sat_ngan_hang,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",173460,raw,1.0,"Raw metadata value: Thanh tra, giám sát ngân hàng"
NguoiKy_oan_thai_son,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,174218,raw,1.0,Raw metadata value: Đoàn Thái Sơn
LinhVuc_thanh_tra_giam_sat_ngan_hang,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",174218,raw,1.0,"Raw metadata value: Thanh tra, giám sát ngân hàng"
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,174218,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
NguoiKy_oan_thai_son,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,186888,raw,1.0,Raw metadata value: Đoàn Thái Sơn
LinhVuc_cuc_an_toan_he_thong_cac_to_chuc_ti,LinhVuc,Cục An toàn hệ thống các tổ chức tín dụng,Cục An toàn hệ thống các tổ chức tín dụng,186888,raw,1.0,Raw metadata value: Cục An toàn hệ thống các tổ chức tín dụng
NguoiKy_oan_thai_son,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,raw,1.0,Raw metadata value: Đoàn Thái Sơn
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,186888,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
CoQuan_bo_tai_chinh,CoQuan,Bộ Tài chính,Bộ Tài chính,112924,raw,1.0,Raw metadata value: Bộ Tài chính
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,186482,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
LinhVuc_cuc_an_toan_he_thong_cac_to_chuc_ti,LinhVuc,Cục An toàn hệ thống các tổ chức tín dụng,Cục An toàn hệ thống các tổ chức tín dụng,186482,raw,1.0,Raw metadata value: Cục An toàn hệ thống các tổ chức tín dụng
NguoiKy_tran_xuan_ha,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,112924,raw,1.0,Raw metadata value: Trần Xuân Hà
NguoiKy_oan_thai_son,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,186482,raw,1.0,Raw metadata value: Đoàn Thái Sơn
DoiTuongApDung_van_phong_ai_dien_to_chuc_tin_dung_,DoiTuongApDung,Văn phòng đại diện tổ chức tín dụng nước ngoài,Văn phòng đại diện tổ chức tín dụng nước ngoài,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,rules_fallback,0.9,"CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập - Tự do - Hạnh phúc
CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập - Tự do - Hạnh phúc
CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập - Tự do - Hạnh phúc
THÔNG TƯ
Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài
Thông tư số 56/2024/TT-NHNN ngày 24 tháng 12 năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài, có hiệu lực kể từ ngày 24 tháng 12 năm 2024 được sửa đổi, bổ sung bởi:
1."
DoiTuongApDung_to_chuc_tin_dung,DoiTuongApDung,Tổ chức tín dụng,Tổ chức tín dụng,38128,rules_fallback,0.9,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập – Tự do – Hạnh phúc
Số: 37/2014/TT-NHNN
Hà Nội, Ngày 26 tháng 11 năm 2014
THÔNG TƯ
Q
uy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam
____________________
Căn cứ Luật Ngân hàng Nhà nước Việt Nam số
46/2010/QH12
;
Căn cứ Nghị định số
156/2013/NĐ-CP
ngày 11/11/2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;
Căn cứ Nghị định số
40/2012/NĐ-CP
ngày 02/5/2012 của Chính phủ về nghiệp vụ phát hành tiền; bảo quản, vận chuyển tài sản quý và giấy tờ có giá trong hệ thống Ngân hàng Nhà nước, tổ chức tín dụng và chi nhánh ngân hàng nước ngoài;
Theo đề nghị của Cục trưởng Cục Phát hành và Kho quỹ;
Thống đốc Ngân hàng Nhà nước Việt Nam ban hành Thông tư quy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam."
DoiTuongApDung_chi_nhanh_ngan_hang_nuoc_ngoai,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,38128,rules_fallback,0.9,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập – Tự do – Hạnh phúc
Số: 37/2014/TT-NHNN
Hà Nội, Ngày 26 tháng 11 năm 2014
THÔNG TƯ
Q
uy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam
____________________
Căn cứ Luật Ngân hàng Nhà nước Việt Nam số
46/2010/QH12
;
Căn cứ Nghị định số
156/2013/NĐ-CP
ngày 11/11/2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;
Căn cứ Nghị định số
40/2012/NĐ-CP
ngày 02/5/2012 của Chính phủ về nghiệp vụ phát hành tiền; bảo quản, vận chuyển tài sản quý và giấy tờ có giá trong hệ thống Ngân hàng Nhà nước, tổ chức tín dụng và chi nhánh ngân hàng nước ngoài;
Theo đề nghị của Cục trưởng Cục Phát hành và Kho quỹ;
Thống đốc Ngân hàng Nhà nước Việt Nam ban hành Thông tư quy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam."
LinhVuc_bao_hiem,LinhVuc,Bảo hiểm,Bảo hiểm,112025,rules_fallback,0.9,Chứa từ khóa 'bảo hiểm'
DoiTuongApDung_van_phong_ai_dien_to_chuc_tin_dung_,DoiTuongApDung,Văn phòng đại diện tổ chức tín dụng nước ngoài,Văn phòng đại diện tổ chức tín dụng nước ngoài,146468,rules_fallback,0.9,"Tổ chức quy định tại khoản 1 Điều này bao gồm:
a) Công ty đại chúng;
b) Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng;
c) Tổ chức phát hành;
d) Tổ chức niêm yết, tổ chức đăng ký giao dịch; tổ chức tư vấn niêm yết, đăng ký giao dịch;
đ) Tổ chức kiểm toán được chấp thuận;
e) Tổ chức tư vấn chào bán, phát hành, tổ chức bảo lãnh phát hành; tổ chức đấu thầu, đại lý phát hành;
g) Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán;
h) Sở giao dịch chứng khoán Việt Nam và công ty con, Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam;
i) Cổ đông, nhà đầu tư là tổ chức;
k) Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán; ngân hàng giám sát;
l) Tổ chức xã hội - nghề nghiệp về chứng khoán;
m) Các tổ chức khác hoạt động trên thị trường chứng khoán hoặc có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán."
DoiTuongApDung_ngan_hang_thuong_mai,DoiTuongApDung,Ngân hàng thương mại,Ngân hàng thương mại,146468,rules_fallback,0.9,"Tổ chức quy định tại khoản 1 Điều này bao gồm:
a) Công ty đại chúng;
b) Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng;
c) Tổ chức phát hành;
d) Tổ chức niêm yết, tổ chức đăng ký giao dịch; tổ chức tư vấn niêm yết, đăng ký giao dịch;
đ) Tổ chức kiểm toán được chấp thuận;
e) Tổ chức tư vấn chào bán, phát hành, tổ chức bảo lãnh phát hành; tổ chức đấu thầu, đại lý phát hành;
g) Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán;
h) Sở giao dịch chứng khoán Việt Nam và công ty con, Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam;
i) Cổ đông, nhà đầu tư là tổ chức;
k) Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán; ngân hàng giám sát;
l) Tổ chức xã hội - nghề nghiệp về chứng khoán;
m) Các tổ chức khác hoạt động trên thị trường chứng khoán hoặc có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán."
DoiTuongApDung_chi_nhanh_ngan_hang_nuoc_ngoai,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,146468,rules_fallback,0.9,"Tổ chức quy định tại khoản 1 Điều này bao gồm:
a) Công ty đại chúng;
b) Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng;
c) Tổ chức phát hành;
d) Tổ chức niêm yết, tổ chức đăng ký giao dịch; tổ chức tư vấn niêm yết, đăng ký giao dịch;
đ) Tổ chức kiểm toán được chấp thuận;
e) Tổ chức tư vấn chào bán, phát hành, tổ chức bảo lãnh phát hành; tổ chức đấu thầu, đại lý phát hành;
g) Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán;
h) Sở giao dịch chứng khoán Việt Nam và công ty con, Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam;
i) Cổ đông, nhà đầu tư là tổ chức;
k) Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán; ngân hàng giám sát;
l) Tổ chức xã hội - nghề nghiệp về chứng khoán;
m) Các tổ chức khác hoạt động trên thị trường chứng khoán hoặc có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán."
DoiTuongApDung_cong_ty_chung_khoan,DoiTuongApDung,Công ty chứng khoán,Công ty chứng khoán,146468,rules_fallback,0.9,"Vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này bao gồm:
a) Vi phạm quy định về chào bán, phát hành chứng khoán riêng lẻ;
b) Vi phạm quy định về chào bán chứng khoán ra công chúng tại Việt Nam;
c) Vi phạm quy định về phát hành trái phiếu ra thị trường quốc tế, chào bán chứng khoán tại nước ngoài và phát hành chứng khoán mới làm cơ sở chào bán chứng chỉ lưu ký chứng khoán tại nước ngoài hoặc hỗ trợ phát hành chứng chỉ lưu ký chứng khoán tại nước ngoài trên cơ sở cổ phiếu đã phát hành tại Việt Nam;
d) Vi phạm quy định phát hành thêm cổ phiếu;
đ) Vi phạm quy định về công ty đại chúng;
e) Vi phạm quy định về chào mua công khai;
g) Vi phạm quy định về niêm yết chứng khoán, đăng ký giao dịch chứng khoán;
h) Vi phạm quy định về tổ chức thị trường giao dịch chứng khoán;
i) Vi phạm quy định về kinh doanh chứng khoán và hành nghề chứng khoán; vi phạm quy định về giao dịch chứng khoán;
k) Vi phạm quy định về đăng ký, lưu ký, bù trừ và thanh toán chứng khoán, ngân hàng giám sát, ngân hàng lưu ký;
l) Vi phạm quy định công bố thông tin và báo cáo; vi phạm quy định về kiểm toán công ty đại chúng, tổ chức niêm yết, tổ chức thực hiện chào bán chứng khoán ra công chúng, công ty chứng khoán, công ty đầu tư chứng khoán, quỹ và công ty quản lý quỹ đầu tư chứng khoán;
m) Vi phạm quy định về phòng, chống rửa tiền và phòng, chống khủng bố trong lĩnh vực chứng khoán và thị trường chứng khoán;
n) Vi phạm quy định về thanh tra, kiểm tra của cơ quan nhà nước có thẩm quyền;
o) Các vi phạm khác trong lĩnh vực chứng khoán và thị trường chứng khoán được quy định tại Nghị định này."
LinhVuc_bao_hiem,LinhVuc,Bảo hiểm,Bảo hiểm,26750,rules_fallback,0.9,Chứa từ khóa 'bảo hiểm'
DoiTuongApDung_van_phong_ai_dien_to_chuc_tin_dung_,DoiTuongApDung,Văn phòng đại diện tổ chức tín dụng nước ngoài,Văn phòng đại diện tổ chức tín dụng nước ngoài,163441,rules_fallback,0.9,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
DoiTuongApDung_cong_ty_quan_ly_quy,DoiTuongApDung,Công ty quản lý quỹ,Công ty quản lý quỹ,146468,rules_fallback,0.9,"Vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này bao gồm:
a) Vi phạm quy định về chào bán, phát hành chứng khoán riêng lẻ;
b) Vi phạm quy định về chào bán chứng khoán ra công chúng tại Việt Nam;
c) Vi phạm quy định về phát hành trái phiếu ra thị trường quốc tế, chào bán chứng khoán tại nước ngoài và phát hành chứng khoán mới làm cơ sở chào bán chứng chỉ lưu ký chứng khoán tại nước ngoài hoặc hỗ trợ phát hành chứng chỉ lưu ký chứng khoán tại nước ngoài trên cơ sở cổ phiếu đã phát hành tại Việt Nam;
d) Vi phạm quy định phát hành thêm cổ phiếu;
đ) Vi phạm quy định về công ty đại chúng;
e) Vi phạm quy định về chào mua công khai;
g) Vi phạm quy định về niêm yết chứng khoán, đăng ký giao dịch chứng khoán;
h) Vi phạm quy định về tổ chức thị trường giao dịch chứng khoán;
i) Vi phạm quy định về kinh doanh chứng khoán và hành nghề chứng khoán; vi phạm quy định về giao dịch chứng khoán;
k) Vi phạm quy định về đăng ký, lưu ký, bù trừ và thanh toán chứng khoán, ngân hàng giám sát, ngân hàng lưu ký;
l) Vi phạm quy định công bố thông tin và báo cáo; vi phạm quy định về kiểm toán công ty đại chúng, tổ chức niêm yết, tổ chức thực hiện chào bán chứng khoán ra công chúng, công ty chứng khoán, công ty đầu tư chứng khoán, quỹ và công ty quản lý quỹ đầu tư chứng khoán;
m) Vi phạm quy định về phòng, chống rửa tiền và phòng, chống khủng bố trong lĩnh vực chứng khoán và thị trường chứng khoán;
n) Vi phạm quy định về thanh tra, kiểm tra của cơ quan nhà nước có thẩm quyền;
o) Các vi phạm khác trong lĩnh vực chứng khoán và thị trường chứng khoán được quy định tại Nghị định này."
